track_id,raw_path,genre,title,artist,album,split,subset
822,data/raw/fma_small/000/000822.mp3,Pop,Tom & Jerry,Hecuba,"Sir 12"" EP",training,small
1642,data/raw/fma_small/001/001642.mp3,Pop,Hrz,So Cow,Wackity Schmackity Doo,training,small
1644,data/raw/fma_small/001/001644.mp3,Pop,Outskirts,So Cow,Wackity Schmackity Doo,training,small
1649,data/raw/fma_small/001/001649.mp3,Pop,Inis Meain,So Cow,Wackity Schmackity Doo,training,small
1661,data/raw/fma_small/001/001661.mp3,Pop,Only Fools and Horses Theme,So Cow,Wackity Schmackity Doo,training,small
1663,data/raw/fma_small/001/001663.mp3,Pop,So High,Softboiled Eggies,Egg Soldiers,training,small
1666,data/raw/fma_small/001/001666.mp3,Pop,She Fell Through the Trees,Softboiled Eggies,Egg Soldiers,training,small
182,data/raw/fma_small/000/000182.mp3,Rock,Jules Lost His Jewels,Ariel Pink's Haunted Graffiti,Worn Copy,test,small
255,data/raw/fma_small/000/000255.mp3,Rock,We Want to be Old,Bird Names,On Opaque Things,training,small
256,data/raw/fma_small/000/000256.mp3,Rock,Toggle,Black Elk,Black Elk,training,small
368,data/raw/fma_small/000/000368.mp3,Rock,Vampires,Blah Blah Blah,30th Anniversary Blah Blah Blah,training,small
459,data/raw/fma_small/000/000459.mp3,Rock,Machines and Muscles,CAVE,Butthash,validation,small
574,data/raw/fma_small/000/000574.mp3,Rock,Caliente Queen,Clockcleaner,Babylon Rules,training,small
690,data/raw/fma_small/000/000690.mp3,Rock,Cataclysm,Flying Luttenbachers,Cataclysm,validation,small
777,data/raw/fma_small/000/000777.mp3,Rock,Relaxing,Glove Compartment,Quickies,training,small
825,data/raw/fma_small/000/000825.mp3,Rock,Death March,Here Comes A Big Black Cloud!!,Pompeii,training,small
993,data/raw/fma_small/000/000993.mp3,Rock,Or So I've Been Told,Jad Fair and Jason Willett,The Sounds of Megaphone Unlimited,validation,small
